Batch 0 - Dataset Indices: [2, 2], Sample Indices: [2173, 730]
Batch 71697 - Dataset Indices: [1, 1], Sample Indices: [14872, 1854]
Batch 71698 - Dataset Indices: [0, 0], Sample Indices: [17192, 31017]
Batch 71699 - Dataset Indices: [1, 1], Sample Indices: [15578, 5265]
Batch 71700 - Dataset Indices: [1, 1], Sample Indices: [17269, 4659]
Batch 71701 - Dataset Indices: [1, 1], Sample Indices: [6792, 13149]
Batch 71702 - Dataset Indices: [1, 1], Sample Indices: [15393, 2015]
Batch 71703 - Dataset Indices: [0, 0], Sample Indices: [28933, 18671]
Batch 71704 - Dataset Indices: [2, 2], Sample Indices: [5463, 3469]
Batch 71705 - Dataset Indices: [2, 2], Sample Indices: [6555, 4545]
Batch 71706 - Dataset Indices: [0, 0], Sample Indices: [57896, 48726]
Batch 71707 - Dataset Indices: [2, 2], Sample Indices: [2679, 4503]
Batch 71708 - Dataset Indices: [0, 0], Sample Indices: [18762, 71826]
Batch 71709 - Dataset Indices: [0, 0], Sample Indices: [35575, 60140]
Batch 71710 - Dataset Indices: [0, 0], Sample Indices: [18553, 30883]
Batch 71711 - Dataset Indices: [0, 0], Sample Indices: [51277, 42461]
Batch 71712 - Dataset Indices: [2, 2], Sample Indices: [3497, 1381]
Batch 71713 - Dataset Indices: [2, 2], Sample Indices: [5670, 2570]
Batch 71714 - Dataset Indices: [1, 1], Sample Indices: [12564, 2020]
Batch 71715 - Dataset Indices: [1, 1], Sample Indices: [5671, 16366]
Batch 71716 - Dataset Indices: [0, 0], Sample Indices: [72477, 34939]
Batch 71717 - Dataset Indices: [0, 0], Sample Indices: [60023, 14315]
Batch 71718 - Dataset Indices: [2, 2], Sample Indices: [2596, 8289]
Batch 71719 - Dataset Indices: [0, 0], Sample Indices: [52799, 67228]
Batch 71720 - Dataset Indices: [2, 2], Sample Indices: [612, 3868]
Batch 71721 - Dataset Indices: [2, 2], Sample Indices: [5798, 7483]
Batch 71722 - Dataset Indices: [2, 2], Sample Indices: [6592, 6382]
Batch 71723 - Dataset Indices: [1, 1], Sample Indices: [14448, 5842]
Batch 71724 - Dataset Indices: [0, 0], Sample Indices: [14131, 66897]
Batch 71725 - Dataset Indices: [1, 1], Sample Indices: [19436, 9574]
Batch 71726 - Dataset Indices: [2, 2], Sample Indices: [8677, 4789]
Batch 71727 - Dataset Indices: [2, 2], Sample Indices: [6369, 5867]
Batch 71728 - Dataset Indices: [0, 0], Sample Indices: [2154, 22643]
Batch 71729 - Dataset Indices: [0, 0], Sample Indices: [20226, 52776]
Batch 71730 - Dataset Indices: [1, 1], Sample Indices: [9696, 9202]
Batch 71731 - Dataset Indices: [0, 0], Sample Indices: [3793, 41011]
Batch 71732 - Dataset Indices: [2, 2], Sample Indices: [8888, 7162]
Batch 71733 - Dataset Indices: [2, 2], Sample Indices: [8022, 1820]
Batch 71734 - Dataset Indices: [2, 2], Sample Indices: [2709, 4575]
Batch 71735 - Dataset Indices: [1, 1], Sample Indices: [15037, 8640]
Batch 71736 - Dataset Indices: [0, 0], Sample Indices: [51959, 41412]
Batch 71737 - Dataset Indices: [0, 0], Sample Indices: [19638, 5760]
Batch 71738 - Dataset Indices: [0, 0], Sample Indices: [59211, 66156]
Batch 71739 - Dataset Indices: [0, 0], Sample Indices: [38492, 22612]
Batch 71740 - Dataset Indices: [2, 2], Sample Indices: [1993, 4698]
Batch 71741 - Dataset Indices: [0, 0], Sample Indices: [18982, 9807]
Batch 71742 - Dataset Indices: [1, 1], Sample Indices: [2188, 12111]
Batch 71743 - Dataset Indices: [2, 2], Sample Indices: [7928, 3231]
Batch 71744 - Dataset Indices: [0, 0], Sample Indices: [8673, 41080]
Batch 71745 - Dataset Indices: [2, 2], Sample Indices: [2084, 792]
Batch 71746 - Dataset Indices: [2, 2], Sample Indices: [3163, 1411]
Batch 71747 - Dataset Indices: [2, 2], Sample Indices: [1474, 3439]
Batch 71748 - Dataset Indices: [0, 0], Sample Indices: [9571, 4788]
Batch 71749 - Dataset Indices: [2, 2], Sample Indices: [4181, 2963]
Batch 71750 - Dataset Indices: [0, 0], Sample Indices: [19980, 46012]
Batch 71751 - Dataset Indices: [1, 1], Sample Indices: [665, 7312]
Batch 71752 - Dataset Indices: [0, 0], Sample Indices: [2060, 24380]
Batch 71753 - Dataset Indices: [2, 2], Sample Indices: [6608, 563]
Batch 71754 - Dataset Indices: [1, 1], Sample Indices: [4022, 19277]
Batch 71755 - Dataset Indices: [0, 0], Sample Indices: [40094, 72767]
Batch 71756 - Dataset Indices: [1, 1], Sample Indices: [10311, 7956]
Batch 71757 - Dataset Indices: [1, 1], Sample Indices: [3137, 18428]
Batch 71758 - Dataset Indices: [2, 2], Sample Indices: [3323, 363]
Batch 71759 - Dataset Indices: [0, 0], Sample Indices: [62412, 55977]
Batch 71760 - Dataset Indices: [1, 1], Sample Indices: [14559, 18695]
Batch 71761 - Dataset Indices: [0, 0], Sample Indices: [48213, 59462]
Batch 71762 - Dataset Indices: [1, 1], Sample Indices: [8796, 20354]
Batch 71763 - Dataset Indices: [1, 1], Sample Indices: [17871, 7793]
Batch 71764 - Dataset Indices: [1, 1], Sample Indices: [1961, 19093]
Batch 71765 - Dataset Indices: [2, 2], Sample Indices: [8635, 5364]
Batch 71766 - Dataset Indices: [2, 2], Sample Indices: [5606, 1507]
Batch 71767 - Dataset Indices: [1, 1], Sample Indices: [10173, 5062]
Batch 71768 - Dataset Indices: [2, 2], Sample Indices: [2930, 5742]
Batch 71769 - Dataset Indices: [0, 0], Sample Indices: [1250, 52560]
Batch 71770 - Dataset Indices: [0, 0], Sample Indices: [31319, 59605]
Batch 71771 - Dataset Indices: [2, 2], Sample Indices: [3755, 1775]
Batch 71772 - Dataset Indices: [1, 1], Sample Indices: [6846, 1615]
Batch 71773 - Dataset Indices: [1, 1], Sample Indices: [14119, 4403]
Batch 71774 - Dataset Indices: [2, 2], Sample Indices: [506, 6271]
Batch 71775 - Dataset Indices: [0, 0], Sample Indices: [62477, 15006]
Batch 71776 - Dataset Indices: [0, 0], Sample Indices: [60556, 34904]
Batch 71777 - Dataset Indices: [1, 1], Sample Indices: [16431, 13482]
Batch 71778 - Dataset Indices: [1, 1], Sample Indices: [1978, 10945]
Batch 71779 - Dataset Indices: [1, 1], Sample Indices: [13686, 10979]
Batch 71780 - Dataset Indices: [0, 0], Sample Indices: [48270, 15456]
Batch 71781 - Dataset Indices: [2, 2], Sample Indices: [2434, 2147]
Batch 71782 - Dataset Indices: [0, 0], Sample Indices: [36896, 36486]
Batch 71783 - Dataset Indices: [1, 1], Sample Indices: [10681, 14697]
Batch 71784 - Dataset Indices: [0, 0], Sample Indices: [44934, 26447]
Batch 71785 - Dataset Indices: [1, 1], Sample Indices: [13808, 18113]
Batch 71786 - Dataset Indices: [2, 2], Sample Indices: [2641, 8533]
Batch 71787 - Dataset Indices: [0, 0], Sample Indices: [53260, 16684]
Batch 71788 - Dataset Indices: [0, 0], Sample Indices: [8492, 8598]
Batch 71789 - Dataset Indices: [0, 0], Sample Indices: [43699, 50760]
Batch 71790 - Dataset Indices: [0, 0], Sample Indices: [57867, 1160]
Batch 71791 - Dataset Indices: [2, 2], Sample Indices: [8007, 1028]
Batch 71792 - Dataset Indices: [1, 1], Sample Indices: [18074, 16903]
Batch 71793 - Dataset Indices: [0, 0], Sample Indices: [38384, 21851]
Batch 71794 - Dataset Indices: [2, 2], Sample Indices: [8179, 8643]
Batch 71795 - Dataset Indices: [2, 2], Sample Indices: [1548, 7387]
Batch 71796 - Dataset Indices: [1, 1], Sample Indices: [10194, 12546]
Batch 71797 - Dataset Indices: [1, 1], Sample Indices: [4271, 2095]
Batch 71798 - Dataset Indices: [0, 0], Sample Indices: [8905, 53914]
Batch 71799 - Dataset Indices: [1, 1], Sample Indices: [10232, 7432]
Batch 71800 - Dataset Indices: [0, 0], Sample Indices: [39158, 3704]
Batch 71801 - Dataset Indices: [1, 1], Sample Indices: [1663, 16555]
Batch 71802 - Dataset Indices: [1, 1], Sample Indices: [667, 8468]
Batch 71803 - Dataset Indices: [1, 1], Sample Indices: [7593, 14023]
Batch 71804 - Dataset Indices: [0, 0], Sample Indices: [23438, 37217]
Batch 71805 - Dataset Indices: [0, 0], Sample Indices: [24566, 8399]
Batch 71806 - Dataset Indices: [2, 2], Sample Indices: [526, 7854]
Batch 71807 - Dataset Indices: [2, 2], Sample Indices: [8221, 6298]
Batch 71808 - Dataset Indices: [0, 0], Sample Indices: [68180, 63458]
Batch 71809 - Dataset Indices: [1, 1], Sample Indices: [1098, 14195]
Batch 71810 - Dataset Indices: [1, 1], Sample Indices: [4845, 3166]
Batch 71811 - Dataset Indices: [2, 2], Sample Indices: [270, 78]
Batch 71812 - Dataset Indices: [0, 0], Sample Indices: [65078, 5064]
Batch 71813 - Dataset Indices: [0, 0], Sample Indices: [59225, 57300]
Batch 71814 - Dataset Indices: [0, 0], Sample Indices: [36361, 34736]
Batch 71815 - Dataset Indices: [0, 0], Sample Indices: [44109, 41185]
Batch 71816 - Dataset Indices: [1, 1], Sample Indices: [10457, 9085]
Batch 71817 - Dataset Indices: [2, 2], Sample Indices: [6851, 2834]
Batch 71818 - Dataset Indices: [2, 2], Sample Indices: [2946, 6966]
Batch 71819 - Dataset Indices: [0, 0], Sample Indices: [22675, 51931]
Batch 71820 - Dataset Indices: [1, 1], Sample Indices: [6450, 7651]
Batch 71821 - Dataset Indices: [1, 1], Sample Indices: [14134, 13262]
Batch 71822 - Dataset Indices: [0, 0], Sample Indices: [68084, 2786]
Batch 71823 - Dataset Indices: [2, 2], Sample Indices: [3412, 5635]
Batch 71824 - Dataset Indices: [2, 2], Sample Indices: [3732, 884]
Batch 71825 - Dataset Indices: [1, 1], Sample Indices: [3002, 5597]
Batch 71826 - Dataset Indices: [1, 1], Sample Indices: [15285, 8361]
Batch 71827 - Dataset Indices: [0, 0], Sample Indices: [48664, 35001]
Batch 71828 - Dataset Indices: [0, 0], Sample Indices: [21779, 3891]
Batch 71829 - Dataset Indices: [2, 2], Sample Indices: [306, 558]
Batch 71830 - Dataset Indices: [2, 2], Sample Indices: [2257, 5772]
Batch 71831 - Dataset Indices: [1, 1], Sample Indices: [18558, 785]
Batch 71832 - Dataset Indices: [1, 1], Sample Indices: [13084, 14438]
Batch 71833 - Dataset Indices: [0, 0], Sample Indices: [14351, 35948]
Batch 71834 - Dataset Indices: [2, 2], Sample Indices: [1720, 5470]
Batch 71835 - Dataset Indices: [1, 1], Sample Indices: [16361, 5897]
Batch 71836 - Dataset Indices: [0, 0], Sample Indices: [65212, 26610]
Batch 71837 - Dataset Indices: [2, 2], Sample Indices: [4595, 3017]
Batch 71838 - Dataset Indices: [0, 0], Sample Indices: [53778, 2068]
Batch 71839 - Dataset Indices: [2, 2], Sample Indices: [956, 5918]
Batch 71840 - Dataset Indices: [2, 2], Sample Indices: [1033, 6273]
Batch 71841 - Dataset Indices: [1, 1], Sample Indices: [11415, 476]
Batch 71842 - Dataset Indices: [1, 1], Sample Indices: [14909, 15535]
Batch 71843 - Dataset Indices: [1, 1], Sample Indices: [12624, 20179]
Batch 71844 - Dataset Indices: [2, 2], Sample Indices: [827, 4608]
Batch 71845 - Dataset Indices: [1, 1], Sample Indices: [9284, 5656]
Batch 71846 - Dataset Indices: [0, 0], Sample Indices: [72871, 50335]
Batch 71847 - Dataset Indices: [0, 0], Sample Indices: [46004, 42889]
Batch 71848 - Dataset Indices: [0, 0], Sample Indices: [28485, 68330]
Batch 71849 - Dataset Indices: [1, 1], Sample Indices: [12231, 200]
Batch 71850 - Dataset Indices: [1, 1], Sample Indices: [4393, 8380]
Batch 71851 - Dataset Indices: [0, 0], Sample Indices: [58519, 52468]
Batch 71852 - Dataset Indices: [0, 0], Sample Indices: [70584, 22343]
Batch 71853 - Dataset Indices: [0, 0], Sample Indices: [14882, 38072]
Batch 71854 - Dataset Indices: [0, 0], Sample Indices: [55174, 41978]
Batch 71855 - Dataset Indices: [0, 0], Sample Indices: [59471, 70932]
Batch 71856 - Dataset Indices: [0, 0], Sample Indices: [9185, 1451]
Batch 71857 - Dataset Indices: [1, 1], Sample Indices: [19900, 220]
Batch 71858 - Dataset Indices: [2, 2], Sample Indices: [6825, 7908]
Batch 71859 - Dataset Indices: [0, 0], Sample Indices: [18758, 55006]
Batch 71860 - Dataset Indices: [2, 2], Sample Indices: [1010, 5123]
Batch 71861 - Dataset Indices: [2, 2], Sample Indices: [6670, 908]
Batch 71862 - Dataset Indices: [1, 1], Sample Indices: [18994, 18720]
Batch 71863 - Dataset Indices: [0, 0], Sample Indices: [23045, 12253]
Batch 71864 - Dataset Indices: [2, 2], Sample Indices: [84, 61]
Batch 71865 - Dataset Indices: [1, 1], Sample Indices: [3639, 13346]
Batch 71866 - Dataset Indices: [1, 1], Sample Indices: [16326, 11150]
Batch 71867 - Dataset Indices: [2, 2], Sample Indices: [2658, 2368]
Batch 71868 - Dataset Indices: [0, 0], Sample Indices: [67804, 42929]
Batch 71869 - Dataset Indices: [2, 2], Sample Indices: [854, 7208]
Batch 71870 - Dataset Indices: [2, 2], Sample Indices: [6955, 3196]
Batch 71871 - Dataset Indices: [0, 0], Sample Indices: [60021, 54137]
Batch 71872 - Dataset Indices: [1, 1], Sample Indices: [19087, 15030]
Batch 71873 - Dataset Indices: [0, 0], Sample Indices: [48711, 25670]
Batch 71874 - Dataset Indices: [2, 2], Sample Indices: [7775, 3351]
Batch 71875 - Dataset Indices: [2, 2], Sample Indices: [2877, 3574]
Batch 71876 - Dataset Indices: [1, 1], Sample Indices: [771, 13663]
Batch 71877 - Dataset Indices: [2, 2], Sample Indices: [4679, 8536]
Batch 71878 - Dataset Indices: [1, 1], Sample Indices: [10087, 19178]
Batch 71879 - Dataset Indices: [2, 2], Sample Indices: [7126, 8621]
Batch 71880 - Dataset Indices: [1, 1], Sample Indices: [20199, 18980]
Batch 71881 - Dataset Indices: [0, 0], Sample Indices: [6246, 20897]
Batch 71882 - Dataset Indices: [2, 2], Sample Indices: [4165, 2023]
Batch 71883 - Dataset Indices: [2, 2], Sample Indices: [8269, 596]
Batch 71884 - Dataset Indices: [0, 0], Sample Indices: [67021, 65159]
Batch 71885 - Dataset Indices: [0, 0], Sample Indices: [58912, 1850]
Batch 71886 - Dataset Indices: [2, 2], Sample Indices: [5558, 4079]
Batch 71887 - Dataset Indices: [2, 2], Sample Indices: [7208, 6677]
Batch 71888 - Dataset Indices: [0, 0], Sample Indices: [30921, 55384]
Batch 71889 - Dataset Indices: [2, 2], Sample Indices: [4191, 1409]
Batch 71890 - Dataset Indices: [0, 0], Sample Indices: [58375, 67103]
Batch 71891 - Dataset Indices: [1, 1], Sample Indices: [10086, 8449]
Batch 71892 - Dataset Indices: [2, 2], Sample Indices: [1781, 5190]
Batch 71893 - Dataset Indices: [1, 1], Sample Indices: [2214, 4107]
Batch 71894 - Dataset Indices: [1, 1], Sample Indices: [3239, 17625]
Batch 71895 - Dataset Indices: [1, 1], Sample Indices: [8736, 8355]
Batch 71896 - Dataset Indices: [2, 2], Sample Indices: [3222, 7657]
Batch 71897 - Dataset Indices: [0, 0], Sample Indices: [51422, 17314]
Batch 71898 - Dataset Indices: [1, 1], Sample Indices: [14035, 7973]
Batch 71899 - Dataset Indices: [1, 1], Sample Indices: [287, 5891]
Batch 71900 - Dataset Indices: [1, 1], Sample Indices: [18930, 2561]
Batch 71901 - Dataset Indices: [0, 0], Sample Indices: [10487, 3306]
Batch 71902 - Dataset Indices: [1, 1], Sample Indices: [15946, 10820]
Batch 71903 - Dataset Indices: [0, 0], Sample Indices: [62132, 26938]
Batch 71904 - Dataset Indices: [2, 2], Sample Indices: [1958, 7097]
Batch 71905 - Dataset Indices: [2, 2], Sample Indices: [2276, 7557]
Batch 71906 - Dataset Indices: [0, 0], Sample Indices: [36358, 30338]
Batch 71907 - Dataset Indices: [0, 0], Sample Indices: [52660, 39204]
Batch 71908 - Dataset Indices: [0, 0], Sample Indices: [3657, 63496]
Batch 71909 - Dataset Indices: [0, 0], Sample Indices: [20372, 42411]
Batch 71910 - Dataset Indices: [0, 0], Sample Indices: [39224, 38296]
Batch 71911 - Dataset Indices: [1, 1], Sample Indices: [19362, 6001]
Batch 71912 - Dataset Indices: [0, 0], Sample Indices: [42964, 46035]
Batch 71913 - Dataset Indices: [0, 0], Sample Indices: [6333, 31972]
Batch 71914 - Dataset Indices: [2, 2], Sample Indices: [2114, 7502]
Batch 71915 - Dataset Indices: [1, 1], Sample Indices: [524, 19193]
Batch 71916 - Dataset Indices: [2, 2], Sample Indices: [4637, 7007]
Batch 71917 - Dataset Indices: [0, 0], Sample Indices: [55098, 60462]
Batch 71918 - Dataset Indices: [2, 2], Sample Indices: [1148, 7287]
Batch 71919 - Dataset Indices: [2, 2], Sample Indices: [747, 188]
Batch 71920 - Dataset Indices: [2, 2], Sample Indices: [2445, 6298]
Batch 71921 - Dataset Indices: [2, 2], Sample Indices: [5761, 4720]
Batch 71922 - Dataset Indices: [2, 2], Sample Indices: [2965, 6242]
Batch 71923 - Dataset Indices: [1, 1], Sample Indices: [15149, 172]
Batch 71924 - Dataset Indices: [0, 0], Sample Indices: [61368, 70407]
Batch 71925 - Dataset Indices: [1, 1], Sample Indices: [16939, 380]
Batch 71926 - Dataset Indices: [1, 1], Sample Indices: [8616, 11421]
Batch 71927 - Dataset Indices: [2, 2], Sample Indices: [648, 5473]
Batch 71928 - Dataset Indices: [1, 1], Sample Indices: [2282, 6032]
Batch 71929 - Dataset Indices: [0, 0], Sample Indices: [53658, 3761]
Batch 71930 - Dataset Indices: [1, 1], Sample Indices: [6527, 10017]
Batch 71931 - Dataset Indices: [0, 0], Sample Indices: [37112, 47120]
Batch 71932 - Dataset Indices: [1, 1], Sample Indices: [13658, 2851]
Batch 71933 - Dataset Indices: [2, 2], Sample Indices: [790, 6834]
Batch 71934 - Dataset Indices: [0, 0], Sample Indices: [71914, 32198]
Batch 71935 - Dataset Indices: [0, 0], Sample Indices: [10183, 58491]
Batch 71936 - Dataset Indices: [1, 1], Sample Indices: [1755, 12257]
Batch 71937 - Dataset Indices: [1, 1], Sample Indices: [14151, 17363]
Batch 71938 - Dataset Indices: [1, 1], Sample Indices: [14485, 16798]
Batch 71939 - Dataset Indices: [1, 1], Sample Indices: [3339, 10543]
Batch 71940 - Dataset Indices: [0, 0], Sample Indices: [52806, 11373]
Batch 71941 - Dataset Indices: [1, 1], Sample Indices: [7350, 17484]
Batch 71942 - Dataset Indices: [0, 0], Sample Indices: [43882, 418]
Batch 71943 - Dataset Indices: [2, 2], Sample Indices: [2050, 8393]
Batch 71944 - Dataset Indices: [2, 2], Sample Indices: [7470, 6938]
Batch 71945 - Dataset Indices: [0, 0], Sample Indices: [4067, 52331]
Batch 71946 - Dataset Indices: [0, 0], Sample Indices: [47805, 39027]
Batch 71947 - Dataset Indices: [2, 2], Sample Indices: [1719, 6327]
Batch 71948 - Dataset Indices: [2, 2], Sample Indices: [6094, 2750]
Batch 71949 - Dataset Indices: [2, 2], Sample Indices: [2935, 2881]
Batch 71950 - Dataset Indices: [1, 1], Sample Indices: [7510, 8428]
Batch 71951 - Dataset Indices: [0, 0], Sample Indices: [49070, 13712]
Batch 71952 - Dataset Indices: [0, 0], Sample Indices: [51561, 24987]
Batch 71953 - Dataset Indices: [2, 2], Sample Indices: [1481, 7126]
Batch 71954 - Dataset Indices: [1, 1], Sample Indices: [8380, 15351]
Batch 71955 - Dataset Indices: [0, 0], Sample Indices: [3303, 43282]
Batch 71956 - Dataset Indices: [2, 2], Sample Indices: [1598, 6996]
Batch 71957 - Dataset Indices: [0, 0], Sample Indices: [34756, 41712]
Batch 71958 - Dataset Indices: [0, 0], Sample Indices: [11788, 16129]
Batch 71959 - Dataset Indices: [2, 2], Sample Indices: [2664, 8897]
Batch 71960 - Dataset Indices: [2, 2], Sample Indices: [8205, 6081]
Batch 71961 - Dataset Indices: [2, 2], Sample Indices: [8413, 4590]
Batch 71962 - Dataset Indices: [0, 0], Sample Indices: [66530, 25098]
Batch 71963 - Dataset Indices: [0, 0], Sample Indices: [29195, 36238]
Batch 71964 - Dataset Indices: [1, 1], Sample Indices: [11324, 14082]
Batch 71965 - Dataset Indices: [2, 2], Sample Indices: [6817, 7527]
Batch 71966 - Dataset Indices: [0, 0], Sample Indices: [48439, 12599]
Batch 71967 - Dataset Indices: [2, 2], Sample Indices: [2620, 3722]
Batch 71968 - Dataset Indices: [2, 2], Sample Indices: [3806, 2557]
Batch 71969 - Dataset Indices: [2, 2], Sample Indices: [3989, 8153]
Batch 71970 - Dataset Indices: [0, 0], Sample Indices: [46257, 49172]
Batch 71971 - Dataset Indices: [0, 0], Sample Indices: [22757, 45719]
Batch 71972 - Dataset Indices: [2, 2], Sample Indices: [4459, 4253]
Batch 71973 - Dataset Indices: [0, 0], Sample Indices: [14097, 55942]
Batch 71974 - Dataset Indices: [1, 1], Sample Indices: [17424, 6118]
Batch 71975 - Dataset Indices: [2, 2], Sample Indices: [7662, 685]
Batch 71976 - Dataset Indices: [1, 1], Sample Indices: [12647, 1566]
Batch 71977 - Dataset Indices: [0, 0], Sample Indices: [64978, 2426]
Batch 71978 - Dataset Indices: [2, 2], Sample Indices: [1361, 1579]
Batch 71979 - Dataset Indices: [1, 1], Sample Indices: [3071, 11038]
Batch 71980 - Dataset Indices: [1, 1], Sample Indices: [19418, 5273]
Batch 71981 - Dataset Indices: [2, 2], Sample Indices: [4892, 1558]
Batch 71982 - Dataset Indices: [0, 0], Sample Indices: [19175, 40810]
Batch 71983 - Dataset Indices: [2, 2], Sample Indices: [1009, 7693]
Batch 71984 - Dataset Indices: [0, 0], Sample Indices: [47982, 5416]
Batch 71985 - Dataset Indices: [0, 0], Sample Indices: [49682, 71179]
Batch 71986 - Dataset Indices: [0, 0], Sample Indices: [49075, 27206]
Batch 71987 - Dataset Indices: [0, 0], Sample Indices: [32951, 6183]
Batch 71988 - Dataset Indices: [2, 2], Sample Indices: [2592, 5523]
Batch 71989 - Dataset Indices: [0, 0], Sample Indices: [20924, 46022]
Batch 71990 - Dataset Indices: [2, 2], Sample Indices: [2043, 1185]
Batch 71991 - Dataset Indices: [2, 2], Sample Indices: [3744, 7455]
Batch 71992 - Dataset Indices: [1, 1], Sample Indices: [5865, 8990]
Batch 71993 - Dataset Indices: [2, 2], Sample Indices: [8438, 3856]
Batch 71994 - Dataset Indices: [2, 2], Sample Indices: [5599, 1302]
Batch 71995 - Dataset Indices: [0, 0], Sample Indices: [34514, 60249]
Batch 71996 - Dataset Indices: [0, 0], Sample Indices: [25263, 57114]
Batch 71997 - Dataset Indices: [2, 2], Sample Indices: [8839, 7522]
Batch 71998 - Dataset Indices: [1, 1], Sample Indices: [954, 19914]
Batch 71999 - Dataset Indices: [1, 1], Sample Indices: [9809, 11109]
Batch 72000 - Dataset Indices: [1, 1], Sample Indices: [12166, 8703]
Batch 72001 - Dataset Indices: [2, 2], Sample Indices: [3864, 6365]
Batch 72002 - Dataset Indices: [1, 1], Sample Indices: [7675, 6866]
Batch 72003 - Dataset Indices: [2, 2], Sample Indices: [1164, 1097]
Batch 72004 - Dataset Indices: [2, 2], Sample Indices: [7762, 8915]
Batch 72005 - Dataset Indices: [2, 2], Sample Indices: [7842, 134]
Batch 72006 - Dataset Indices: [0, 0], Sample Indices: [73217, 26353]
Batch 72007 - Dataset Indices: [2, 2], Sample Indices: [8202, 6575]
Batch 72008 - Dataset Indices: [0, 0], Sample Indices: [45285, 16494]
Batch 72009 - Dataset Indices: [2, 2], Sample Indices: [833, 1785]
Batch 72010 - Dataset Indices: [1, 1], Sample Indices: [19467, 1665]
Batch 72011 - Dataset Indices: [0, 0], Sample Indices: [18398, 61433]
Batch 72012 - Dataset Indices: [0, 0], Sample Indices: [9411, 68477]
Batch 72013 - Dataset Indices: [1, 1], Sample Indices: [14, 825]
Batch 72014 - Dataset Indices: [0, 0], Sample Indices: [56027, 22844]
Batch 72015 - Dataset Indices: [2, 2], Sample Indices: [427, 4745]
Batch 72016 - Dataset Indices: [2, 2], Sample Indices: [2298, 5954]
Batch 72017 - Dataset Indices: [1, 1], Sample Indices: [19261, 19258]
Batch 72018 - Dataset Indices: [2, 2], Sample Indices: [4441, 7759]
Batch 72019 - Dataset Indices: [1, 1], Sample Indices: [14516, 7767]
Batch 72020 - Dataset Indices: [1, 1], Sample Indices: [11447, 20426]
Batch 72021 - Dataset Indices: [0, 0], Sample Indices: [30558, 28691]
Batch 72022 - Dataset Indices: [1, 1], Sample Indices: [9139, 305]
Batch 72023 - Dataset Indices: [0, 0], Sample Indices: [53892, 52801]
Batch 72024 - Dataset Indices: [1, 1], Sample Indices: [15723, 19323]
Batch 72025 - Dataset Indices: [0, 0], Sample Indices: [45179, 44319]
Batch 72026 - Dataset Indices: [0, 0], Sample Indices: [54347, 42779]
Batch 72027 - Dataset Indices: [1, 1], Sample Indices: [4992, 7837]
Batch 72028 - Dataset Indices: [2, 2], Sample Indices: [2662, 3116]
Batch 72029 - Dataset Indices: [2, 2], Sample Indices: [3630, 8139]
Batch 72030 - Dataset Indices: [1, 1], Sample Indices: [19120, 10319]
Batch 72031 - Dataset Indices: [2, 2], Sample Indices: [6801, 8515]
Batch 72032 - Dataset Indices: [0, 0], Sample Indices: [30966, 64333]
Batch 72033 - Dataset Indices: [0, 0], Sample Indices: [18620, 68538]
Batch 72034 - Dataset Indices: [2, 2], Sample Indices: [6962, 5405]
Batch 72035 - Dataset Indices: [2, 2], Sample Indices: [5024, 5942]
Batch 72036 - Dataset Indices: [1, 1], Sample Indices: [6206, 10795]
Batch 72037 - Dataset Indices: [1, 1], Sample Indices: [10102, 15388]
Batch 72038 - Dataset Indices: [2, 2], Sample Indices: [3530, 3725]
Batch 72039 - Dataset Indices: [0, 0], Sample Indices: [62689, 13544]
Batch 72040 - Dataset Indices: [0, 0], Sample Indices: [56129, 47302]
Batch 72041 - Dataset Indices: [0, 0], Sample Indices: [25771, 70767]
Batch 72042 - Dataset Indices: [2, 2], Sample Indices: [7332, 2829]
Batch 72043 - Dataset Indices: [1, 1], Sample Indices: [15932, 11724]
Batch 72044 - Dataset Indices: [1, 1], Sample Indices: [2902, 17396]
Batch 72045 - Dataset Indices: [2, 2], Sample Indices: [1418, 7590]
Batch 72046 - Dataset Indices: [2, 2], Sample Indices: [7491, 7085]
Batch 72047 - Dataset Indices: [0, 0], Sample Indices: [65126, 30983]
Batch 72048 - Dataset Indices: [1, 1], Sample Indices: [13579, 15068]
Batch 72049 - Dataset Indices: [0, 0], Sample Indices: [60159, 37390]
Batch 72050 - Dataset Indices: [2, 2], Sample Indices: [5475, 3440]
Batch 72051 - Dataset Indices: [2, 2], Sample Indices: [5784, 808]
Batch 72052 - Dataset Indices: [1, 1], Sample Indices: [10090, 10808]
Batch 72053 - Dataset Indices: [0, 0], Sample Indices: [96, 41625]
Batch 72054 - Dataset Indices: [0, 0], Sample Indices: [8437, 50798]
Batch 72055 - Dataset Indices: [2, 2], Sample Indices: [7006, 5882]
Batch 72056 - Dataset Indices: [0, 0], Sample Indices: [36482, 18293]
Batch 72057 - Dataset Indices: [0, 0], Sample Indices: [13921, 22785]
Batch 72058 - Dataset Indices: [0, 0], Sample Indices: [29761, 21788]
Batch 72059 - Dataset Indices: [0, 0], Sample Indices: [60263, 25722]
Batch 72060 - Dataset Indices: [1, 1], Sample Indices: [12723, 10979]
Batch 72061 - Dataset Indices: [1, 1], Sample Indices: [16228, 5918]
Batch 72062 - Dataset Indices: [1, 1], Sample Indices: [15711, 5106]
Batch 72063 - Dataset Indices: [1, 1], Sample Indices: [611, 18064]
Batch 72064 - Dataset Indices: [2, 2], Sample Indices: [3696, 1091]
